id,artist_name,artist_popularity,song,song_popularity,song_duration_ms,spotify_track_id,genre,danceability,energy,valence,acousticness,instrumentalness,speechiness,loudness,tempo,key,mode,time_signature,event_ai
25,Bizarrap,84,"Quevedo: Bzrp Music Sessions, Vol. 52",92,198937,2tTmW7RDtMQtBk7m2rYeSw,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.621,0.782,0.55,0.0125,0.033,0.044,-5.548,128.033,D,Major,4,R&B Night
26,¿Téo?,56,Assim,58,138946,0kitlUDARPIpnaIeUW16LN,['latinx alternative'],0.831,0.472,0.653,0.133,1e-06,0.226,-9.124,138.025,A,Major,4,R&B Night
27,zzoilo,61,Mon Amour - Remix,81,179940,5TMLavqGRKNxgzMBrVpC9R,['latin pop'],0.748,0.761,0.362,0.122,6.56e-06,0.102,-6.621,116.041,D,Major,4,Classical Soiree
28,Ozuna,85,Hey Mor,89,196600,1zsPaEkglFvxjAhrM8yhpr,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.901,0.589,0.399,0.00302,0.000237,0.289,-6.713,98.002,C#/Db,Minor,4,R&B Night
29,Niko B,42,Rips in Jeans,55,163459,7K0ga2R3IgiwDOZlk9SC9n,[],0.864,0.676,0.501,0.261,1.77e-06,0.238,-5.442,112.105,F#/Gb,Minor,4,Hip Hop Party
30,Rosa Linn,69,SNAP,89,179551,76OGwb5RA9h4FxQPT33ekc,['alt z'],0.565,0.636,0.525,0.107,9.9e-06,0.0638,-8.198,170.01,C,Major,4,R&B Night
31,Masego,67,Mystery Lady,71,228453,0bkTdkWwGk3OGFX0afD3Wj,"['alternative r&b', 'indie soul']",0.747,0.494,0.624,0.393,0.0,0.141,-7.957,76.006,D#/Eb,Minor,4,R&B Night
32,Yebba,63,Far Away (feat. A$AP Rocky),66,199426,14qNHvX8h6HoynFuV0RxWS,['pop soul'],0.687,0.584,0.228,0.222,0.00114,0.0422,-7.336,88.025,F#/Gb,Minor,4,R&B Night
33,Still Woozy,65,Window,68,139293,42Fm8hxhh8i0Zx0Si7XIxd,"['bedroom pop', 'oakland indie', 'pov: indie']",0.714,0.479,0.625,0.423,1.61e-05,0.188,-9.381,91.01,E,Minor,4,Reggaeton Fiesta
34,Labrinth,77,Formula,85,91869,6EtKlIQmGPB9SX8UjDJG5s,"['indie poptimism', 'pop']",0.574,0.664,0.226,0.0448,0.0553,0.0409,-6.068,144.654,B,Major,4,Indie Pop Showcase
35,Libianca,72,People,91,184791,26b3oVLrRUaaybJulow9kz,['afrobeats'],0.573,0.422,0.693,0.551,1.31e-05,0.0678,-7.621,124.357,A#/Bb,Minor,5,Jazz Lounge
36,BLK ODYSSY,51,Lay Low,61,139586,1QrRuByqSfCxYS0JdZMlIf,['indie r&b'],0.482,0.605,0.568,0.128,0.349,0.13,-5.105,101.868,A#/Bb,Minor,4,Pop Experience
37,Aminé,68,REEL IT IN,76,121346,5qHirGR7M9tdm6C17DlzSY,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']",0.754,0.342,0.423,0.073,0.0,0.0991,-8.677,128.981,A#/Bb,Minor,4,EDM Extravaganza
38,Drake,94,Nonstop,81,238614,0TlLq3lA83rQOYtrqBqSct,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.912,0.412,0.423,0.0165,0.0126,0.123,-8.074,154.983,G,Major,4,Jazz Lounge
39,BROCKHAMPTON,64,SWEET,62,274274,2DgMxFMUQRPthW4ROhjen1,"['boy band', 'rap']",0.718,0.628,0.722,0.543,0.0,0.223,-6.007,92.107,A#/Bb,Minor,4,R&B Night
40,Kid Cudi,78,Day 'N' Nite (Nightmare),74,221240,60PAzFNW3vAiAiVK6DRJfB,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",0.88,0.443,0.803,0.462,7.13e-06,0.0653,-6.359,138.018,B,Minor,4,Indie Folk Festival
41,WILLOW,69,Wait a Minute!,82,196520,0y60itmpH0aPKsFiGxmtnh,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']",0.764,0.705,0.672,0.0371,1.94e-05,0.0278,-5.279,101.003,D#/Eb,Minor,4,Jazz Lounge
42,Metro Boomin,88,10 Freaky Girls (with 21 Savage),80,208293,0AluA5RNsa4Cx6XRhf2hWZ,"['hip hop', 'rap']",0.81,0.353,0.0727,0.588,0.0,0.31,-9.931,88.031,F#/Gb,Minor,4,Indie Pop Showcase
43,The Weeknd,94,Starboy,92,230453,7MXVkk9YMctZqd1Srtv4MB,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.679,0.587,0.486,0.141,6.35e-06,0.276,-7.015,186.003,G,Major,4,Bossa Nova Experience
44,Arctic Monkeys,84,I Wanna Be Yours,94,183956,5XeFesFbtLpXzIVDNQP22n,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.464,0.417,0.479,0.136,0.022,0.0256,-9.345,67.528,C,Minor,4,Pop Experience
45,Rae Sremmurd,70,Black Beatles,77,291893,6fujklziTHa8uoM5OQSfIo,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",0.794,0.632,0.355,0.142,0.0,0.0649,-6.163,145.926,C,Major,4,Classical Performance
46,Bruno Mars,86,That's What I Like,88,206693,0KKkJNfGyhkQ5aFogxQAPU,"['dance pop', 'pop']",0.853,0.56,0.86,0.013,0.0,0.0406,-4.961,134.066,C#/Db,Major,4,Bollywood Night
47,Ariana Grande,86,Into You,80,244453,76FZM38RC8XaAjJ77CVTNe,['pop'],0.623,0.734,0.372,0.0162,1.9e-06,0.107,-5.95,107.853,A,Major,4,Indie Pop Showcase
48,Major Lazer,73,Cold Water (feat. Justin Bieber & MØ),58,185351,0Ii19QCCwkEtZRqIzLAicF,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",0.608,0.798,0.5,0.0736,0.0,0.0432,-5.092,92.946,F#/Gb,Minor,4,R&B Night
49,Isaac Winemiller,32,Superbloom,52,136403,47WZOx6Bk36kilpfCLxgRp,"['chill dream pop', 'rochester mn indie']",0.628,0.64,0.69,0.405,0.424,0.0252,-10.178,112.912,A#/Bb,Major,4,Acoustic Serenade
50,Vansire,65,Précis,67,74143,3s9YtjSkxeeriM92mASyoO,"['bedroom pop', 'rochester mn indie']",0.532,0.348,0.301,0.96,0.757,0.0283,-13.284,80.998,A#/Bb,Major,4,R&B Night
